          x  Sw_0         p_0      Sw_1          p_1      Sw_2          p_2      Sw_3          p_3      Sw_4          p_4   C_0            C_1            C_2           C_3           C_4 
0       0.0  0.251  483.814051  0.768323  2456.528223  0.771691  4408.415650  0.771809  4464.355734  0.771871  4298.755066   0.0   5.000000e+02   5.000000e+02  1.233852e-16  3.091207e-35
1      10.0  0.251  481.394981  0.764639  2417.023180  0.769050  4369.492639  0.769301  4463.108967  0.769378  4297.508633   0.0   5.000000e+02   5.000000e+02  5.083048e-15  2.353941e-33
2      20.0  0.251  478.975911  0.761848  2377.028718  0.767045  4330.223575  0.767449  4461.851703  0.767536  4296.251769   0.0   5.000000e+02   5.000000e+02  1.062430e-13  9.190925e-32
3      30.0  0.251  476.556840  0.759511  2336.643431  0.765363  4290.677677  0.765937  4460.586250  0.766031  4294.986759   0.0   5.000000e+02   5.000000e+02  1.495228e-12  2.432924e-30
4      40.0  0.251  474.137770  0.757462  2295.922063  0.763888  4250.893331  0.764645  4459.313906  0.764744  4293.714892   0.0   5.000000e+02   5.000000e+02  1.590169e-11  4.890497e-29
5      50.0  0.251  471.718700  0.755616  2254.901186  0.762558  4210.896175  0.763510  4458.035552  0.763613  4292.437039   0.0   5.000000e+02   5.000000e+02  1.361120e-10  7.941506e-28
6      60.0  0.251  469.299630  0.753922  2213.607586  0.761339  4170.705004  0.762495  4456.751842  0.762601  4291.153848   0.0   5.000000e+02   5.000000e+02  9.758202e-10  1.083262e-26
7      70.0  0.251  466.880559  0.752349  2172.062007  0.760208  4130.334405  0.761577  4455.463284  0.761684  4289.865825   0.0   5.000000e+02   5.000000e+02  6.022789e-09  1.275056e-25
8      80.0  0.251  464.461489  0.750874  2130.281123  0.759148  4089.796145  0.760738  4454.170291  0.760846  4288.573381   0.0   5.000000e+02   5.000000e+02  3.265224e-08  1.320795e-24
9      90.0  0.251  462.042419  0.749478  2088.278704  0.758149  4049.099990  0.759965  4452.873189  0.760073  4287.276861   0.0   5.000000e+02   5.000000e+02  1.579017e-07  1.222295e-23
10    100.0  0.251  459.623349  0.748151  2046.066339  0.757201  4008.254226  0.759249  4451.572188  0.759357  4285.976557   0.0   5.000000e+02   5.000000e+02  6.894189e-07  1.022575e-22
11    110.0  0.251  457.204278  0.746881  2003.653924  0.756297  3967.265997  0.758582  4450.267218  0.758691  4284.672723   0.0   5.000000e+02   5.000000e+02  2.744503e-06  7.808275e-22
12    120.0  0.251  454.785208  0.745660  1961.049995  0.755432  3926.141553  0.757959  4448.957356  0.758067  4283.365583   0.0   5.000000e+02   5.000000e+02  1.004270e-05  5.485199e-21
13    130.0  0.251  452.366138  0.744482  1918.261967  0.754601  3884.886425  0.757374  4447.639078  0.757482  4282.055334   0.0   5.000000e+02   5.000000e+02  3.400981e-05  3.568561e-20
14    140.0  0.251  449.947068  0.743339  1875.296303  0.753801  3843.505548  0.756823  4446.301345  0.756931  4280.742152   0.0   5.000000e+02   5.000000e+02  1.072138e-04  2.162298e-19
15    150.0  0.251  447.527997  0.742228  1832.158638  0.753029  3802.003367  0.756301  4444.912763  0.756411  4279.426196   0.0   4.999999e+02   5.000000e+02  3.162065e-04  1.226249e-18
