         x  Sw_0         p_0      Sw_1         p_1      Sw_2         p_2      Sw_3         p_3      Sw_4          p_4   C_0            C_1            C_2            C_3            C_4 
0      0.0  0.251  290.288431  0.723742  494.919602  0.740994  709.404855  0.748149  921.906055  0.752333  1132.677938   0.0   4.938760e+02   4.998565e+02   4.999964e+02   4.999999e+02
1     40.0  0.251  284.482662  0.701722  439.863800  0.728478  655.967965  0.738266  870.058480  0.743802  1081.780806   0.0   4.669000e+02   4.987336e+02   4.999569e+02   4.999986e+02
2     80.0  0.251  278.676893  0.676725  387.238519  0.717999  600.635645  0.730599  816.492022  0.737319  1029.412445   0.0   4.059678e+02   4.942243e+02   4.997312e+02   4.999890e+02
3    120.0  0.251  272.871125  0.643226  342.642870  0.707489  544.442574  0.723820  761.562052  0.731800   975.857002   0.0   3.128728e+02   4.819561e+02   4.988559e+02   4.999408e+02
4    160.0  0.251  267.065356  0.601002  308.214085  0.695549  488.891582  0.717294  705.552481  0.726801   921.269381   0.0   2.062753e+02   4.566415e+02   4.962783e+02   4.997578e+02
5    200.0  0.251  261.259588  0.542443  282.993008  0.680738  436.106873  0.710529  648.857730  0.722053   865.763309   0.0   1.104772e+02   4.144868e+02   4.901487e+02   4.991950e+02
6    240.0  0.251  255.453819  0.470949  265.145837  0.661540  388.622307  0.703033  592.122626  0.717340   809.461527   0.0   4.359406e+01   3.555492e+02   4.779123e+02   4.977413e+02
7    280.0  0.251  249.648050  0.369501  252.476889  0.638550  348.551039  0.694243  536.337224  0.712445   752.549426   0.0   9.837735e+00   2.845780e+02   4.568459e+02   4.945013e+02
8    320.0  0.251  243.842282  0.267992  244.113955  0.612128  315.736251  0.683479  482.843115  0.707133   695.337780   0.0   4.067715e-01   2.100775e+02   4.249340e+02   4.881484e+02
9    360.0  0.251  238.036513  0.251124  238.038248  0.578919  289.214565  0.669928  433.229652  0.701126   638.324743   0.0   1.108876e-04   1.409720e+02   3.817337e+02   4.770231e+02
10   400.0  0.251  232.230745  0.251000  232.230746  0.542999  268.441621  0.653051  389.158651  0.694092   582.237273   0.0   9.200008e-11   8.436709e+01   3.288321e+02   4.594129e+02
11   440.0  0.251  226.424976  0.251000  226.424976  0.509636  251.934853  0.634875  351.366219  0.685621   528.030867   0.0   5.904606e-17   4.414537e+01   2.698338e+02   4.339666e+02
12   480.0  0.251  220.619207  0.251000  220.619207  0.480669  238.134622  0.614020  319.249686  0.675205   476.836667   0.0   3.704311e-23   1.969410e+01   2.096815e+02   4.001209e+02
13   520.0  0.251  214.813439  0.251000  214.813439  0.455116  225.897458  0.588608  292.266239  0.662309   429.866282   0.0   2.282117e-29   7.242448e+00   1.531666e+02   3.583873e+02
14   560.0  0.251  209.007670  0.251000  209.007670  0.415485  214.415001  0.560152  270.192236  0.647120   388.321115   0.0   1.391581e-35   2.016231e+00   1.042384e+02   3.104195e+02
15   600.0  0.251  203.201901  0.251000  203.201901  0.322372  204.609235  0.533846  252.067669  0.631854   352.169044   0.0   8.476490e-42   2.860695e-01   6.557153e+01   2.589770e+02
16   640.0  0.251  197.396133  0.251000  197.396133  0.255187  197.458519  0.509554  236.705337  0.613891   320.639480   0.0   5.200077e-48   2.916243e-03   3.782572e+01   2.073030e+02
17   680.0  0.251  191.590364  0.251000  191.590364  0.251008  191.590476  0.489873  223.305323  0.592534   293.551435   0.0   3.228885e-54   4.738786e-08   1.987355e+01   1.584738e+02
18   720.0  0.251  185.784596  0.251000  185.784596  0.251000  185.784596  0.476021  211.169464  0.568406   270.731268   0.0   2.030658e-60   2.792344e-14   9.467112e+00   1.150637e+02
19   760.0  0.251  179.978827  0.251000  179.978827  0.251000  179.978827  0.466739  199.743682  0.545435   251.561134   0.0   1.289461e-66   1.630690e-20   4.065873e+00   7.894980e+01
20   800.0  0.251  174.173058  0.251000  174.173058  0.251000  174.173058  0.458342  188.633542  0.523961   235.133548   0.0   8.225061e-73   9.693253e-27   1.550492e+00   5.099859e+01
21   840.0  0.251  168.367290  0.251000  168.367290  0.251000  168.367290  0.442790  177.559443  0.504821   220.728439   0.0   5.243278e-79   5.886891e-33   5.032179e-01   3.088705e+01
22   880.0  0.251  162.561521  0.251000  162.561521  0.251000  162.561521  0.396360  166.588299  0.489631   207.789422   0.0   3.328046e-85   3.640549e-39   1.215502e-01   1.750328e+01
23   920.0  0.251  156.755753  0.251000  156.755753  0.251000  156.755753  0.294608  157.529766  0.478946   195.828374   0.0   2.099723e-91   2.274340e-45   1.142366e-02   9.280794e+00
24   960.0  0.251  150.949984  0.251000  150.949984  0.251000  150.949984  0.252102  150.965830  0.472177   184.464371   0.0   1.317129e-97   1.422637e-51   2.961869e-05   4.607555e+00
25  1000.0  0.251  145.144215  0.251000  145.144215  0.251000  145.144215  0.251001  145.144230  0.468094   173.431781   0.0  8.228727e-104   8.848447e-58   7.732079e-11   2.140089e+00
26  1040.0  0.251  139.338447  0.251000  139.338447  0.251000  139.338447  0.251000  139.338447  0.465295   162.560632   0.0  5.132775e-110   5.451967e-64   4.681216e-17   9.256964e-01
27  1080.0  0.251  133.532678  0.251000  133.532678  0.251000  133.532678  0.251000  133.532678  0.462121   151.740845   0.0  3.204569e-116   3.326138e-70   2.889901e-23   3.686218e-01
28  1120.0  0.251  127.726909  0.251000  127.726909  0.251000  127.726909  0.251000  127.726909  0.455484   140.878024   0.0  2.006262e-122   2.013455e-76   1.799768e-29   1.317914e-01
29  1160.0  0.251  121.921141  0.251000  121.921141  0.251000  121.921141  0.251000  121.921141  0.436493   129.867006   0.0  1.260552e-128   1.213859e-82   1.117116e-35   3.987912e-02
30  1200.0  0.251  116.115372  0.251000  116.115372  0.251000  116.115372  0.251000  116.115372  0.375793   119.156036   0.0  7.946583e-135   7.318562e-89   6.855417e-42   8.439696e-03
31  1240.0  0.251  110.309604  0.251000  110.309604  0.251000  110.309604  0.251000  110.309604  0.275233   110.707872   0.0  5.021089e-141   4.428189e-95   4.146096e-48   4.713367e-04
