                 t           Prod
0         0.000000      54.856321
1         0.080091     109.712642
2         0.160182     164.568963
3         0.240272     219.425283
4         0.320363     274.281604
5         0.400454     329.137925
6         0.480545     383.994246
7         0.560635     438.850567
8         0.640726     493.706888
9         0.720817     548.563208
10        0.800908     603.419529
11        0.880998     658.275850
12        0.961089     713.132171
13        1.041180     767.988492
14        1.121271     822.844813
15        1.201362     877.701134
16        1.281452     932.557454
17        1.361543     987.413775
18        1.441634    1042.270096
19        1.521725    1097.126417
20        1.601815    1151.982738
21        1.681906    1206.839059
22        1.761997    1261.695380
23        1.842088    1316.551700
24        1.922178    1371.408021
25        2.002269    1426.264342
26        2.082360    1481.120663
27        2.162451    1535.976984
28        2.242542    1590.833305
29        2.322632    1645.689625
30        2.402723    1700.545946
31        2.482814    1755.402267
32        2.562905    1810.258588
33        2.642995    1865.114909
34        2.723086    1919.971230
35        2.803177    1974.827551
36        2.883268    2029.683871
37        2.963358    2084.540192
38        3.043449    2139.396513
39        3.123540    2194.252834
40        3.203631    2249.109155
41        3.283722    2303.965476
42        3.363812    2358.821796
43        3.443903    2413.678117
44        3.523994    2468.534438
45        3.604085    2523.390759
46        3.684175    2578.247080
47        3.764266    2633.103401
48        3.844357    2687.959722
49        3.924448    2742.816042
50        4.004538    2797.672363
51        4.084629    2852.528684
52        4.164720    2907.385005
53        4.244811    2962.241326
54        4.324902    3017.097647
55        4.404992    3071.953967
56        4.485083    3126.810288
57        4.565174    3181.666609
58        4.645265    3236.522930
59        4.725355    3291.379251
60        4.805446    3346.235572
61        4.885537    3401.091893
62        4.965628    3455.948213
63        5.045718    3510.804534
64        5.125809    3565.660855
65        5.205900    3620.517176
66        5.285991    3675.373497
67        5.366082    3730.229818
68        5.446172    3785.086139
69        5.526263    3839.942459
70        5.606354    3894.798780
71        5.686445    3949.655101
72        5.766535    4004.511422
73        5.846626    4059.367743
74        5.926717    4114.224064
75        6.006808    4169.080384
76        6.086898    4223.936705
77        6.166989    4278.793026
78        6.247080    4333.649347
79        6.327171    4388.505668
80        6.407262    4443.361989
81        6.487352    4498.218310
82        6.567443    4553.074630
83        6.647534    4607.930951
84        6.727625    4662.787272
85        6.807715    4717.643593
86        6.887806    4772.499914
87        6.967897    4827.356235
88        7.047988    4882.212555
89        7.128078    4937.068876
90        7.208169    4991.925197
91        7.288260    5046.781518
92        7.368351    5101.637839
93        7.448442    5156.494160
94        7.528532    5211.350481
95        7.608623    5266.206801
96        7.688714    5321.063122
97        7.768805    5375.919443
