        x        Sw        So   Cp  Sw_0  So_0  Cp_0      Sw_1      So_1  Cp_1      Sw_2      So_2  Cp_2      Sw_3      So_3  Cp_3
0    0.00  0.757370  0.242630  1.0   0.1   0.9   1.0  0.722024  0.277976   1.0  0.742134  0.257866   1.0  0.751604  0.248396   1.0
1    0.06  0.744606  0.255394  1.0   0.1   0.9   1.0  0.698810  0.301190   1.0  0.725101  0.274899   1.0  0.737229  0.262771   1.0
2    0.12  0.735148  0.264852  1.0   0.1   0.9   1.0  0.679332  0.320668   1.0  0.712384  0.287616   1.0  0.726581  0.273419   1.0
3    0.18  0.727348  0.272652  1.0   0.1   0.9   1.0  0.655775  0.344225   1.0  0.701613  0.298387   1.0  0.717770  0.282230   1.0
4    0.24  0.720579  0.279421  1.0   0.1   0.9   1.0  0.581358  0.418642   1.0  0.691722  0.308278   1.0  0.710062  0.289938   1.0
5    0.30  0.714517  0.285483  1.0   0.1   0.9   0.0  0.484873  0.515127   1.0  0.681903  0.318097   1.0  0.703062  0.296938   1.0
6    0.36  0.708964  0.291036  1.0   0.1   0.9   0.0  0.501161  0.498839   1.0  0.670887  0.329113   1.0  0.696503  0.303497   1.0
7    0.42  0.703783  0.296217  1.0   0.1   0.9   0.0  0.497051  0.502949   1.0  0.654983  0.345017   1.0  0.690148  0.309852   1.0
8    0.48  0.698867  0.301133  1.0   0.1   0.9   0.0  0.492045  0.507955   1.0  0.609776  0.390224   1.0  0.683715  0.316285   1.0
9    0.54  0.694120  0.305880  1.0   0.1   0.9   0.0  0.487562  0.512438   0.0  0.487468  0.512532   1.0  0.676793  0.323207   1.0
10   0.60  0.689441  0.310559  1.0   0.1   0.9   0.0  0.482364  0.517636   0.0  0.490759  0.509241   1.0  0.668505  0.331495   1.0
11   0.66  0.684703  0.315297  1.0   0.1   0.9   0.0  0.476354  0.523646   0.0  0.496429  0.503571   1.0  0.656144  0.343856   1.0
12   0.72  0.679709  0.320291  1.0   0.1   0.9   0.0  0.469746  0.530254   0.0  0.496327  0.503673   1.0  0.624928  0.375072   1.0
13   0.78  0.674122  0.325878  1.0   0.1   0.9   0.0  0.462653  0.537347   0.0  0.495546  0.504454   0.0  0.501584  0.498416   1.0
14   0.84  0.667196  0.332804  1.0   0.1   0.9   0.0  0.455014  0.544986   0.0  0.495341  0.504659   0.0  0.490440  0.509560   1.0
15   0.90  0.656677  0.343323  1.0   0.1   0.9   0.0  0.446583  0.553417   0.0  0.495156  0.504844   0.0  0.491939  0.508061   1.0
16   0.96  0.631490  0.368510  1.0   0.1   0.9   0.0  0.436792  0.563208   0.0  0.494708  0.505292   0.0  0.494088  0.505912   1.0
17   1.02  0.510634  0.489366  0.0   0.1   0.9   0.0  0.424279  0.575721   0.0  0.493924  0.506076   0.0  0.494073  0.505927   0.0
18   1.08  0.494351  0.505649  0.0   0.1   0.9   0.0  0.405050  0.594950   0.0  0.492751  0.507249   0.0  0.493693  0.506307   0.0
19   1.14  0.491018  0.508982  0.0   0.1   0.9   0.0  0.361673  0.638327   0.0  0.491158  0.508842   0.0  0.493645  0.506355   0.0
