CFL: 0.834861645022950
Execution time : 0.14682418199663516

        x        Sw        So
0    0.00  0.800000  0.200000
1    0.01  0.795794  0.204206
2    0.02  0.794439  0.205561
3    0.03  0.793405  0.206595
4    0.04  0.792533  0.207467
5    0.05  0.791764  0.208236
6    0.06  0.791070  0.208930
7    0.07  0.790431  0.209569
8    0.08  0.789837  0.210163
9    0.09  0.789279  0.210721
10   0.10  0.788752  0.211248
11   0.11  0.788251  0.211749
12   0.12  0.787772  0.212228
13   0.13  0.787313  0.212687
14   0.14  0.786872  0.213128
15   0.15  0.786447  0.213553
16   0.16  0.786036  0.213964
17   0.17  0.785638  0.214362
18   0.18  0.785252  0.214748
19   0.19  0.784877  0.215123
20   0.20  0.784512  0.215488
21   0.21  0.784156  0.215844
22   0.22  0.783808  0.216192
23   0.23  0.783469  0.216531
24   0.24  0.783138  0.216862
25   0.25  0.782813  0.217187
26   0.26  0.782495  0.217505
27   0.27  0.782184  0.217816
28   0.28  0.781878  0.218122
29   0.29  0.781579  0.218421
30   0.30  0.781284  0.218716
31   0.31  0.780995  0.219005
32   0.32  0.780710  0.219290
33   0.33  0.780430  0.219570
34   0.34  0.780155  0.219845
35   0.35  0.779883  0.220117
36   0.36  0.779616  0.220384
37   0.37  0.779353  0.220647
38   0.38  0.779093  0.220907
39   0.39  0.778837  0.221163
40   0.40  0.778584  0.221416
41   0.41  0.778335  0.221665
42   0.42  0.778089  0.221911
43   0.43  0.777846  0.222154
44   0.44  0.777606  0.222394
45   0.45  0.777369  0.222631
46   0.46  0.777134  0.222866
47   0.47  0.776903  0.223097
48   0.48  0.776674  0.223326
49   0.49  0.776447  0.223553
50   0.50  0.776223  0.223777
51   0.51  0.776001  0.223999
52   0.52  0.775782  0.224218
53   0.53  0.775565  0.224435
54   0.54  0.775350  0.224650
55   0.55  0.775137  0.224863
56   0.56  0.774926  0.225074
57   0.57  0.774717  0.225283
58   0.58  0.774510  0.225490
59   0.59  0.774305  0.225695
